Categoría: Todas las categorías

Día,Bitcoin: (Todo el mundo)
2019-02-05,49
2019-02-06,47
2019-02-07,45
2019-02-08,45
2019-02-09,44
2019-02-10,40
2019-02-11,42
2019-02-12,43
2019-02-13,42
2019-02-14,40
2019-02-15,39
2019-02-16,37
2019-02-17,37
2019-02-18,51
2019-02-19,55
2019-02-20,49
2019-02-21,48
2019-02-22,44
2019-02-23,45
2019-02-24,55
2019-02-25,48
2019-02-26,44
2019-02-27,41
2019-02-28,41
2019-03-01,40
2019-03-02,38
2019-03-03,37
2019-03-04,41
2019-03-05,42
2019-03-06,41
2019-03-07,42
2019-03-08,39
2019-03-09,39
2019-03-10,38
2019-03-11,40
2019-03-12,40
2019-03-13,38
2019-03-14,37
2019-03-15,38
2019-03-16,39
2019-03-17,35
2019-03-18,40
2019-03-19,41
2019-03-20,42
2019-03-21,42
2019-03-22,40
2019-03-23,38
2019-03-24,35
2019-03-25,38
2019-03-26,39
2019-03-27,42
2019-03-28,39
2019-03-29,41
2019-03-30,37
2019-03-31,35
2019-04-01,43
2019-04-02,95
2019-04-03,100
2019-04-04,74
2019-04-05,60
2019-04-06,55
2019-04-07,53
2019-04-08,64
2019-04-09,58
2019-04-10,58
2019-04-11,59
2019-04-12,51
2019-04-13,46
2019-04-14,42
2019-04-15,52
2019-04-16,51
2019-04-17,52
2019-04-18,51
2019-04-19,49
2019-04-20,48
2019-04-21,46
2019-04-22,50
2019-04-23,63
2019-04-24,57
2019-04-25,54
2019-04-26,61
2019-04-27,59
2019-04-28,45
2019-04-29,47
2019-04-30,47
2019-05-01,47
2019-05-02,47
2019-05-03,61
